ID,Categoría,Nombre,Descripción,Precio,Nota
1,Desayunos,Chilaquiles,Totopos de maíz crujientes bañados en nuestra salsa casera,$130.00,menú-platillos
2,Desayunos,Huevos al Gusto,"Mexicana, revueltos, con jamón, estrellados, omelette con salchicha o jamón",$120.00,menú-platillos
3,Desayunos,Hot-Cakes,3 piezas con mantequilla y miel de maple,$115.00,menú-platillos
4,Desayunos,Plato de Fruta,"Papaya, melón, fresas, con miel de abeja y granola; elegir: queso cottage o yogurt natural",$120.00,menú-platillos
5,Desayunos,Molletes Salados,"2 molletes: frijol con queso, frijol con queso y chorizo",$90.00,menú-platillos
6,Desayunos,Molletes Dulces,"2 molletes: sencillo o combinado con cajeta, mermelada de fresa, leche, azúcar, canela y miel",$95.00,menú-platillos
7,Entradas y Botanas,Camarones Hawaii,Camarones empanizados con un toque crujiente de pan y coco sobre una ensalada fresca y un toque de salsa especial de la casa Tajal,$170.00,menú-platillos
8,Entradas y Botanas,Camarones Roca,"Camarones capeados, macerados en un delicioso aderezo con un toque picosito. Creación del chef.",$180.00,menú-platillos
9,Entradas y Botanas,Guacamole con Picaña,Guacamole tradicional con puntas de picaña al carbón,$250.00,menú-platillos
10,Entradas y Botanas,Tuétanos Tajal,3 piezas al grill con esquites y salsa de la casa,$270.00,menú-platillos
11,Entradas y Botanas,Tiradito de Atún,"Láminas de atún sobre ruedas de pepino, chile serrano y salsa sweet ponzu",$230.00,menú-platillos
12,Entradas y Botanas,Tiradito de Salmón,"Láminas de salmón sobre ruedas de pepino, chile serrano y salsa sweet ponzu",$260.00,menú-platillos
13,Entradas y Botanas,Cecina,150 g horneada,$240.00,menú-platillos
14,Entradas y Botanas,Queso Fundido,"Con chorizo, champiñones o natural",$160.00,menú-platillos
15,Entradas y Botanas,Papa Gratinada con Arrachera,Papa con queso gratinado y fajitas de arrachera,$180.00,menú-platillos
16,Entradas y Botanas,Panela Asada,Panela asada al carbón con salsa ranchera,$120.00,menú-platillos
17,Entradas y Botanas,Chistorra Asada,Porción de chistorra asada al carbón marinada con salsa artesanal,$130.00,menú-platillos
18,Entradas y Botanas,Tostadas de Atún,1 tostada de atún marinado en salsa negra con flor de aguacate,$120.00,menú-platillos
19,Entradas y Botanas,Sopa Azteca,"Sopa de tortilla con aguacate, queso manchego y crema",$115.00,menú-platillos
20,Entradas y Botanas,Frijoles adobados,Orden de frijoles adobados con elote,$90.00,menú-platillos
21,Entradas y Botanas,Guacamole,Dip con totopos,$90.00,menú-platillos
22,Entradas y Botanas,Papas a la Francesa,Papas crujientes cortadas a mano servidas con salsa de la casa.,$80.00,menú-platillos
23,Entradas y Botanas,Pellizcada de lengua,Porción de lengua de res cocida lentamente y sazonada al estilo Tajal,$90.00,menú-platillos
24,Entradas y Botanas,Pellizcada de queso,Queso fresco desmenuzado y ligeramente ahumado ideal para compartir.,$50.00,menú-platillos
25,Fines de Semana,Menudo mini con lengua y cachete,,$170.00,menú-platillos
26,Fines de Semana,Menudo mini con pedacito,,$140.00,menú-platillos
27,Fines de Semana,Menudo mediano con lengua y cachete,,$240.00,menú-platillos
28,Fines de Semana,Menudo mediano con pedacito,,$185.00,menú-platillos
29,Fines de Semana,Menudo grande con lengua y cachete,,$230.00,menú-platillos
30,Fines de Semana,Menudo grande con pedacito,,$265.00,menú-platillos
31,Fines de Semana,Menudo extra grande con pedacito,,$225.00,menú-platillos
32,Fines de Semana,Menudo extra grande con lengua y cachete,,$295.00,menú-platillos
33,Fines de Semana,Menudo caldo mini,Caldo concentrado de menudo sin tripas perfecto para empezar el día.,$70.00,menú-platillos
34,Fines de Semana,Menudo caldo grande,Caldo abundante de menudo sin tripas servido caliente con condimentos al gusto.,$90.00,menú-platillos
35,Ensaladas,Ensalada Premium,"Mix de lechuga, espinaca, queso de cabra, nuez garapiñada y pollo con aderezo de miel mostaza",$200.00,menú-platillos
36,Ensaladas,Ensalada Tajal,"Mix de lechuga con pollo, espinaca, arándano, panela, fresa, frutos rojos y vinagreta",$200.00,menú-platillos
37,Ensaladas,Ensalada Tex Mex,"Mix de lechuga, jitomate, elote, aguacate, cebolla morada, chips y arrachera con aderezo de chipotle",$200.00,menú-platillos
38,Ensaladas,Ensalada César,"Mix de lechugas, crotones, queso parmesano, aderezo cesar y pollo",$180.00,menú-platillos
39,Ensaladas,Capres,"Rebanadas de jitomate, queso fresco, albahaca, aceite de oliva y vinagre balsámico",$180.00,menú-platillos
40,Pastas,Alfredo,"Pasta con crema alfredo, mantequilla y queso parmesano",$215.00,menú-platillos
41,Pastas,Arrabiata,"Pasta en salsa de tomate picante con ajo, chile y aceite de oliva",$215.00,menú-platillos
42,Pastas,Al Pesto,Pasta con salsa pesto de albahaca fresca y queso parmesano,$215.00,menú-platillos
43,Pastas,Bizarro,Pasta especial de la casa con ingredientes únicos,$215.00,menú-platillos
44,Hamburguesas,La Consentida Tajal,"De res especial de la casa con champiñones, tocino, espinaca y queso blanco",$220.00,menú-platillos
45,Hamburguesas,Hamburguesa de Camarón,Camarones a la plancha con queso manchego,$215.00,menú-platillos
46,Hamburguesas,Hamburguesa Tradicional,"Carne de res, queso americano y tocino",$175.00,menú-platillos
47,Hamburguesas,Hamburguesa de Pollo,Pechuga de pollo y queso americano,$175.00,menú-platillos
