ID,Categoría,Nombre,Descripción,Precio,Nota,Imagen
1,Desayunos,Chilaquiles,Totopos de maíz crujientes bañados en nuestra salsa casera,$130.00,menú-platillos,chilaquiles.webp
2,Desayunos,Huevos al Gusto,"Mexicana, revueltos, con jamón, estrellados, omelette con salchicha o jamón",$120.00,menú-platillos,huevos_al_gusto.webp
3,Desayunos,Hot-Cakes,3 piezas con mantequilla y miel de maple,$115.00,menú-platillos,hot-cakes.webp
4,Desayunos,Plato de Fruta,"Papaya, melón, fresas, con miel de abeja y granola; elegir: queso cottage o yogurt natural",$120.00,menú-platillos,plato_de_fruta.webp
5,Desayunos,Molletes Salados,"2 molletes: frijol con queso, frijol con queso y chorizo",$90.00,menú-platillos,molletes_salados.webp
6,Desayunos,Molletes Dulces,"2 molletes: sencillo o combinado con cajeta, mermelada de fresa, leche, azúcar, canela y miel",$95.00,menú-platillos,molletes_dulces.webp
7,Entradas y Botanas,Camarones Hawaii,Camarones empanizados con un toque crujiente de pan y coco sobre una ensalada fresca y un toque de salsa especial de la casa Tajal,$170.00,menú-platillos,camarones_hawaii.webp
8,Entradas y Botanas,Camarones Roca,"Camarones capeados, macerados en un delicioso aderezo con un toque picosito. Creación del chef.",$180.00,menú-platillos,camarones_roca.webp
9,Entradas y Botanas,Guacamole con Picaña,Guacamole tradicional con puntas de picaña al carbón,$250.00,menú-platillos,guacamole_con_picana.webp
10,Entradas y Botanas,Tuétanos Tajal,3 piezas al grill con esquites y salsa de la casa,$270.00,menú-platillos,tuetanos_tajal.webp
11,Entradas y Botanas,Tiradito de Atún,"Láminas de atún sobre ruedas de pepino, chile serrano y salsa sweet ponzu",$230.00,menú-platillos,tiradito_de_atun.webp
12,Entradas y Botanas,Tiradito de Salmón,"Láminas de salmón sobre ruedas de pepino, chile serrano y salsa sweet ponzu",$260.00,menú-platillos,tiradito_de_salmon.webp
13,Entradas y Botanas,Cecina,150 g horneada,$240.00,menú-platillos,cecina.webp
14,Entradas y Botanas,Queso Fundido,"Con chorizo, champiñones o natural",$160.00,menú-platillos,queso_fundido.webp
15,Entradas y Botanas,Papa Gratinada con Arrachera,Papa con queso gratinado y fajitas de arrachera,$180.00,menú-platillos,papa_gratinada_con_arrachera.webp
16,Entradas y Botanas,Panela Asada,Panela asada al carbón con salsa ranchera,$120.00,menú-platillos,panela_asada.webp
17,Entradas y Botanas,Chistorra Asada,Porción de chistorra asada al carbón marinada con salsa artesanal,$130.00,menú-platillos,chistorra_asada.webp
18,Entradas y Botanas,Tostadas de Atún,1 tostada de atún marinado en salsa negra con flor de aguacate,$120.00,menú-platillos,tostadas_de_atun.webp
19,Entradas y Botanas,Sopa Azteca,"Sopa de tortilla con aguacate, queso manchego y crema",$115.00,menú-platillos,sopa_azteca.webp
20,Entradas y Botanas,Frijoles adobados,Orden de frijoles adobados con elote,$90.00,menú-platillos,frijoles.webp
21,Entradas y Botanas,Guacamole,Dip con totopos,$90.00,menú-platillos,guacamole.webp
22,Entradas y Botanas,Papas a la Francesa,Papas crujientes cortadas a mano servidas con salsa de la casa.,$80.00,menú-platillos,papas_a_la_francesa.webp
23,Entradas y Botanas,Pellizcada de lengua,Porción de lengua de res cocida lentamente y sazonada al estilo Tajal,$90.00,menú-platillos,pellizcada_de_lengua.webp
24,Entradas y Botanas,Pellizcada de queso,Queso fresco desmenuzado y ligeramente ahumado ideal para compartir.,$50.00,menú-platillos,pellizcada_de_queso.webp
25,Fines de Semana,Menudo mini con lengua y cachete,,$170.00,menú-platillos,menudo.webp
26,Fines de Semana,Menudo mini con pedacito,,$140.00,menú-platillos,menudo.webp
27,Fines de Semana,Menudo mediano con lengua y cachete,,$240.00,menú-platillos,menudo.webp
28,Fines de Semana,Menudo mediano con pedacito,,$185.00,menú-platillos,menudo.webp
29,Fines de Semana,Menudo grande con lengua y cachete,,$230.00,menú-platillos,menudo.webp
30,Fines de Semana,Menudo grande con pedacito,,$265.00,menú-platillos,menudo.webp
31,Fines de Semana,Menudo extra grande con pedacito,,$225.00,menú-platillos,menudo.webp
32,Fines de Semana,Menudo extra grande con lengua y cachete,,$295.00,menú-platillos,menudo.webp
33,Fines de Semana,Menudo caldo mini,Caldo concentrado de menudo sin tripas perfecto para empezar el día.,$70.00,menú-platillos,caldo.webp
34,Fines de Semana,Menudo caldo grande,Caldo abundante de menudo sin tripas servido caliente con condimentos al gusto.,$90.00,menú-platillos,caldo.webp
35,Ensaladas,Ensalada Premium,"Mix de lechuga, espinaca, queso de cabra, nuez garapiñada y pollo con aderezo de miel mostaza",$200.00,menú-platillos,ensalada_cesar.webp
36,Ensaladas,Ensalada Tajal,"Mix de lechuga con pollo, espinaca, arándano, panela, fresa, frutos rojos y vinagreta",$200.00,menú-platillos,michelada_tajal.webp
